number,name,platform,release_date,summary,meta_score,user_review
14806,Mr. Driller 2, Game Boy Advance,"April 10, 2005","Test your drill skills in Mr. Driller 2, a colorful puzzle game for the Game Boy Advance. In an effort to save the world from being buried under colored blocks, you must drill your way through a variety of intricate puzzles while avoiding enemies and obstacles. Based on the arcade version, the sequel to Mr. Driller features Mission Driller, Endless Driller, and Time Attack Driller modes, plus a two-player mode that lets you play against a friend via link cable.",62,0.0
14809,Aerial Strike: The Yager Missions, PC,"February 4, 2005","Despite all of the superior technological advancements of the future, security on Earth remains at risk. In Aerial Strike: The Yager Missions, players assume the role of Magnus Tide, pilot of one of the deadliest machines in the galaxy: the fighter ship Sagittarius. Taking control of Sagittarius’ multiple weapons and capabilities, players enter a world of extreme fighter pilot action, forcing futuristic rivals to pay the ultimate price in a daring quest to save the world. This radical action game offers intense aerial combat, combining dog fighting missions and ground attack objectives. Players will soar through 22 huge levels, adapting their strategies around multi-faceted terrains, including deep canyons and enormous mountains. They will maneuver a wide range of crafts, from agile fighters to huge battleships and carriers. Outside of the Sagittarius, players apply a more hands-on approach to fending off enemies when they get behind the controls of a gun turret. [DreamCatcher]",62,0.0
14810,Don't Forget Me, PC,"April 20, 2021","A jazz-punk adventure game with a twist, Don’t Forget Me is a new breed of puzzle game. Dive into the memories of your patients, use your own observations to unwrap their minds and uncover a dark conspiracy set to claim dominion over humanity.",62,0.0
14811,Space Crew, Switch,"October 15, 2020","Space Crew features the same gameplay loop as its predecessor with players controlling the actions of their crew moment-to-moment in the minutiae of navigation, scanning and combat. The new space setting allows much more player freedom and campaign unpredictability with much greater mission variety and deeper strategic gameplay. Players have to be more alert than ever when venturing through space and are challenged to protect their vulnerable crew from alien boardings, getting sucked out into space, running out of oxygen, system failures, ship fires and whatever else the campaign AI can throw at them from mission to mission. It is these moments of seeing your crew triumph over adversity time and time again, albeit with a few casualties along the way, which made the original Bomber Crew such a runaway hit and Runner Duck is aiming for similarly thrilling emergent storytelling in the sequel.",62,0.0
14812,Onee Chanbara ORIGIN, PC,"October 14, 2020","In the year 20XX AD, Tokyo is nothing but a dystopic wasteland overrun by living corpses known as the Undead. Here we find two sisters who descend from a long line of expert swordsmen, yet were born to different mothers. The elder sister, Aya, was raised by her father, who subjected her to rigorous training in the way of the blade. Meanwhile, the younger sister, Saki, was raised by her mother, learning to despise her father for abandoning them and taking her sister away. When her father goes missing, Aya decides to put her skills with the sword to use as an Undead-hunter. Upon her beloved mother's murder, Saki becomes consumed to the point of insanity with a desperate thirst for revenge, resorting to manipulating the Undead to achieve her goal.Aya resolves to seek out her younger sister, her only surviving relation, while Saki is determined to resurrect her mother using an ancient art passed down through the ages. This art, however, requires the heart of a blood relative to work, meaning that the younger sister must kill the elder if she is to have her sworn vengeance. And so, amidst a swirling storm of love, hate, and intrigue, the battle between the two sisters begins.",62,0.0
14821,New Zealand Story Revolution, DS,"February 13, 2008","New Zealand Story Revolution recreates the look and feel of the classic 1988 8-bit game on a 21st century handheld. Whilst simply enhancing the original's gameplay, New Zealand Story Revolution gives the player an old classic on a new platform without compromising the game’s original appeal and eccentricity. Features: The return of one of videogaming's cutest cult characters - Tiki the Kiwi; Entirely faithful to the originals - all levels, enemies, items and secrets remain intact; A host of new touchscreen-based mini-games to play in both single player and against friends in multiplayer; New gameplay features are a New Zealand Story fan's wish-list - you'll wonder why they weren't in the original; Digitally remastered - Brighter, more colourful graphics, parallax scrolling, redrawn sprites and new animations; Normal and Expert Modes – Clear the Normal Mode to unlock Expert Mode; New music and sounds effects – new tunes based on the classic game. [Rising Star Games]",62,0.0
14827,NEOVERSE: Trinity Edition, Switch,"January 21, 2021","Card actions, Don't lose your tension!Build a deck that suits your needs!Lady Luck Smiles to the smartest deck. NEOVERSE is a time warping multiverse game consisting of thrilling adventures that are packed with great and exciting challenges; combining roguelite, deck building, strategy gameplay all in one. It puts your skills to the test. Set off on an adventure with unique heroes to save the living realms regardless of time and space.",62,0.0
14847,High Heat Major League Baseball 2002, Game Boy Advance,"September 16, 2001","It's a decent freshman effort, but a lack of gameplay details and multiplayer features and substandard visuals limit the game's appeal to die-hard MLB fans only.",62,0.0
14862,TurtlePop: Journey to Freedom, Switch,"March 9, 2018","TurtlePop: Journey to Freedom is a platform puzzle game that introduces Bebo, Deephi, Slimmie, Smarts, Willis and Sparky the Turtle. Master new gameplay with multi-character control and turtle-linking, environment manipulation, item deployment and match 3 mechanics that make challenges even more fresh, intense and fun. [Nintendo]",62,0.0
14865,Rainbow Islands: Towering Adventure!, Xbox 360,"October 28, 2009","Rainbow Islands: Towering Adventure! is platform gaming at its most colorful. Control the rainbows to take you through the game's 10 seamlessly connected areas, as you climb from the earth to the far reaches of space. Conquer all 10 Areas in four different game modes, and customize your character's outfit with a range of quirky costumes that you can earn in the game. [Taito]",62,0.0
14870,Polar Panic, PlayStation 3,"December 22, 2009","[Playstation Network] Polar Panic has you playing through 50 challenging levels to battle Mr. Big in Story Mode. Or work your way through all 50 of the fiendish block-based puzzles. Survive against never-ending waves of trappers in Survivor Mode. Play on your own or with two to four players against the trappers and each other in Kills, Points, or Last Man Standing variations. [Valcon Games]",62,0.0
14873,Tube Slider, GameCube,"April 17, 2003","Sometime in the middle of the 21st century, shortly following the development of hydrogen-based power, a global treaty prohibiting the use of fossil fuels was passed which banned all motor sports. Although the world established a culture of peace and environmental preservation, people wanted a sport that would whet their appetites for speed and competition... Get your adrenaline fix as you race at incredible speeds in hover vehicles that slide through futuristic gravity-defying race courses enclosed in tubes... reaching speeds over 1,000 miles per hour! The future of championship formula racing is faster, sleeker, and more dangerous. You may be able to finish a race, but can you take home a championship?",62,0.0
14876,Age of Sail II, PC,"February 1, 2001","The invading armada drifts on the horizon, preparing for war. On your order, the battle begins. Explosions break the peaceful atmosphere as the smoke distorts the scene. It was a time when nations fought for naval dominance ... a time of true adventure ... a time unlike no other. It was the Age Of Sail! [TalonSoft]",62,0.0
14877,Sno-Cross Championship Racing, Dreamcast,"November 30, 2000","Sno-Cross Championship Racing was a valiant effort on the PlayStation, on the Dreamcast it falls far short of standards and expectations.",62,0.0
14897,Balls of Fury, DS,"September 27, 2007","In the unsanctioned, underground and unhinged world of extreme Ping-Pong, the competition is brutal and the stakes are deadly. Down-and-out former professional Ping-Pong phenom Randy Daytona is sucked into this maelstrom when FBI Agent Rodriguez recruits him for a secret mission. Randy is determined to bounce back and recapture his former glory, and to smoke out his father’s killer – one of the FBI’s Most Wanted, arch-fiend Feng. Balls of Fury, the hit movie starring Christopher Walken, is now an action-packed ping pong game for the DS. In Balls of Fury, you actually play table tennis using the touch screen. You will need to keep up with the ball as the pace gets faster and the opponents get tougher. There are many fun ways to play Balls of Fury including Exhibition mode, Arcade mode, and Story mode. Play wireless on the DS against a friend. [DSI Games]",62,0.0
14905,Gretzky NHL 06, PlayStation 2,"September 20, 2005","Gretzky NHL 2006 for PlayStation 2 retakes the virtual ice with popular gameplay options including Practice Mode, Exhibition Mode, and Online Mode with 64-team tournaments. Additionally, an overhauled Franchise Mode lets gamers run the show as owners of NHL and AHL teams, while an expanded Rivalry Mode tracks and records statistics from head-to-head battles over the lifetime of the rivalry. For gamers who want to get in the game, EyeToy functionality offers the opportunity for gamers to take a snapshot of themselves, put their face into the game and suit up as or against their favorite NHL player. [SCEA]",62,0.0
14928,Fatal Fury: First Contact, Switch,"December 23, 2020",The popular Fatal Fury series in its NEOGEO POCKET debut! The legendary lone wolves are spitting sparks in their latest adventure! Can you survive this explosive battle?!,62,0.0
14930,Crystal Defenders R1, Wii,"April 20, 2009","[WiiWare] In Crystal Defenders R1, you must deploy various units such as Soldiers and Black Mages to stop wave after wave of encroaching monsters from escaping the area with your party's crystals. There are many different types of units to choose from, some specializing in powerful short-range attacks, some wielding far-reaching magicks, and still others equipped with bows that enable them to bring down aerial foes. Deploy units in strategic locations to take full advantage of their traits. Each time an enemy breaches your defenses and reaches a map's exit, your party will lose crystals. When all your crystals are gone, the game is over. Crystal Defenders R1 comes complete with a plethora of exciting stages, each varying in layout and difficulty. Can you defend them all without losing a single crystal? [Nintendo]",62,0.0
14932,Pogo Island, DS,"March 26, 2007","Pogo Island offers an easy to learn but challenging to master level of enjoyment that will make hours feel like fleeting minutes. Each of the games -- Word Whomp, Poppit!, Phlinx, Tri-Peaks Solitaire and Squelchies -- is skinned to a playful island theme that transports you to an island getaway. Above and beyond the five puzzle games is a fun and unique meta-game that sets players on an island-wide adventure mission to reunite with stranded Pogo mascots. Along the way, players will collect tokens which can either be translated into bragging rights amongst peers or transferred to Pogo.com, where players can reap the benefits of being a token guru. [Electronic Arts]",62,0.0
14935,The Spiderwick Chronicles, Wii,"February 5, 2008","The Spiderwick Chronicles is a video game based on the theatrical release by Paramount Pictures and Nickelodeon Films. The game recreates the fantastical world of the Spiderwick film and best-selling book series. The Spiderwick Chronicles video game recreates the world of Jared, Simon and Mallory Grace, putting gamers in their shoes as they discover a hidden world of fantastical creatures - sprites, ogres, goblins, brownies and more. [Sierra Entertainment]",62,0.0
14937,Gunpey, PSP,"November 17, 2006","With Q Entertainment's tradition for visual style and original music, Gunpey offers a unique puzzle experience. As lines of various angles climb up the screen, the player's objective is to flip the lines, located in squares, to connect them over five columns. Connecting lines from left to right remove the connected row. If an incomplete line reaches the top of the screen, the game is over. Features 40 varied backgrounds and stylized music and two-player multiplayer over wireless ad-hoc connectivity. [Namco Bandai Games]",62,0.0
14938,Greak: Memories of Azur, Xbox Series X,"August 17, 2021","Greak: Memories of Azur is a side scrolling single-player game with hand-drawn animations. You will take the role of three siblings: Greak, Adara and Raydel to guide them through the lands of Azur. Alternate control between them and use their unique abilities to escape from the Urlag invasion.",62,0.0
14939,Haunted Dungeons: Hyakki Castle, Switch,"August 30, 2018",,62,0.0
14949,Dragon's Lair 3D: Return to the Lair, PC,"November 18, 2002","Guide Dirk the Daring, the valiant but clumsy knight whose bravery is famed throughout the land. You'll fight your way through the castle's treacherous, labyrinthine-like halls, and overcome new monsters and obstacles lurking in the shadows. Dragon's Lair 3D resurrects the popular characters and creatures featured in the original Dragon's Lair, and as a special bonus, new characters in Dragon's Lair 3D are being designed directly by legendary animator Don Bluth. [Ubi Soft]",61,0.0
14954,Nickelodeon Danny Phantom: Urban Jungle, DS,"September 19, 2006",A powerful new eco-ghost has turned Amity Park into a real urban jungle. Danny Phantom must battle his way through the twisted thorns and monstrous vegetation and learn an all new-freeze power to defeat this evil nemesis. Soar through ghostly 3-D worlds attacking all new enemies in frenzied shooter action. Travel to the Ghost Zone to learn Danny's new Freeze Power. Defeat new enemy Undergrowth as he tries to turn Amity Park into a nightmare of plants and vines. Pilot the Fenton Flier and Danny with new inventions from the Fenton lab. [THQ],61,0.0
14965,Sym, PC,"May 7, 2015","A puzzle-platformer that explores social anxiety disorder. Play as Josh, a teenage boy trying to reconcile a maze of two contrasting worlds that coexist within the blank spaces of each other - his perception of reality, and the world he created to avoid his fears.",61,0.0
14988,Heracles Chariot Racing, Wii,"July 6, 2009","[WiiWare] The famous Heracles has taken on a challenge like none he has ever faced. Our hero will have to beat his opponents in a race across mythological kingdoms and be the first to reach the top of Mount Olympus. You can play as Heracles and help him return the sacred trophy, or play as one of the other varied mythological characters from Satyr to Poseidon and claim the prize for yourself. Race through three racing cups across 10 courses set in five mythic landscapes. Use awesome fantasy weaponry to defeat your opponents: tridents, fireballs, Zeus's lightning rods and more. Get your friends together for intense two-to-four-player split-screen multiplayer action in Championship, Single Race or Battle mode. [Nintendo]",61,0.0
14990,Tannenberg, PlayStation 4,"July 24, 2020",Experience authentic First World War action with 64 player battles of maneuver on the Eastern Front. Warfare between the Russian Empire and the Central Powers is a tense battle for dominance – stay close to your squad to survive!,61,0.0
15013,King Arthur, Xbox,"November 16, 2004","Live the true story behind the epic legend of King Arthur and the Knights of the Round Table. Based on the King Arthur movie from producer Jerry Bruckheimer, the King Arthur game lets you take control of one of five heroes, including Arthur, Lancelot, and Guinevere, each with unique weapons and skills. With three modes of battle, motion-captured fighting sequences and moves, and cutscenes from the film, King Arthur re-creates the events of this legendary tale.",61,0.0
15018,The Messenger (2001), PC,"February 14, 2001","Discover an unknown ancient time portal hidden deep in the Louvre, which will propel you to different eras in time on your search for the four objects of the apocalypse. Utilizing logic, stealth, hi-tech gadgets, and weaponry, delve into dangerous worlds of intrigue, murder, and mysticism. [Dreamcatcher Interactive]",61,0.0
15020,Hunter's Legacy, Xbox One,"January 20, 2017","Hunter’s Legacy is a 2D single-player platform action game made up of characters and worlds from Universe of Something, a concept of a connected world that would span different games. The game is inspired by classics that we grew up playing and is a simple yet fun title designed to challenge gamers of any kind. In Hunter’s Legacy, you control Ikki, huntress of Un’Amak, a bipedal cat equipped with a variety of weapons and abilities, including swords and a bow and arrows.",61,0.0
15026,Nikoli's Pencil Puzzle, 3DS,"October 25, 2011","Gamers can engage their minds with four challenging puzzle games including Sudoku, Hashiwokakero, Shikaku, and Akari.",61,0.0
15030,Seven Knights -Time Wanderer-, Switch,"November 5, 2020","Seven Knights - Time Wanderer - focuses on the story of the eighth member of the Seven Knights, Vanessa, and her ultimate magical equipment, a sentient hourglass known as Sandy, as she embarks on a journey to return safely home after falling into the twists of space and time.",61,0.0
15041,Wizardry: Labyrinth of Lost Souls, PC,"January 15, 2020","Following in the grand tradition of the Wizardry series is the very first version available for today's Next-Gen gamers; Wizardry: Labyrinth of Lost Souls features a deceptively simple game system complementing deep and involving dungeon designs. Hardcore RPG fans will find an extensive and grueling 1st-person 3D grid-based dungeon crawl experience rendered in high-definition with hand-drawn characters and sprites by famous commercial artist Yuki Hayabusa. Players will develop a party of up to six members culled from a rich mix of five races and eight classes, and prepare to encounter over 120 different monsters.",61,0.0
15042,Reign of Fire, Game Boy Advance,"October 31, 2002","Based on the movie, Reign of Fire lets you play as either a human or a dragon in an epic battle. As a human, you'll take the role of a resistance fighter who's trying to defend the last remaining humans from attack. You must make your way to the site of the sole male dragon using a variety of well-equipped vehicles and high-tech weaponry. As a dragon, you'll take the role of an infant, led by instinct to attack foes, and you'll attempt to eradicate the human race. With your natural fire-breathing and flying abilities, you can destroy everything on the ground or in the skies.",61,0.0
15043,Micro Machines V4, PSP,"June 27, 2006","Mixing miniature mayhem with maximum multiplayer racing, Micro Machines v4 features knockabout, breakneck racing in the fastest scale miniatures, complete with explosive weapon power-ups. Letting you loose with hundreds of vehicles, each with distinctive performance abilities, you'll be racing your inch-long miniature motors on the wildest tracks where everyday household objects appear immense in size and can become lethal hazards. Sport cars, street racers, stock cars, 4x4s, beach buggies, lowriders and muscle cars are just some of the Micro Machines models you'll be taking out on the improvised tracks around the Micro Machines house, garden and - for the first time - beyond. Spin out around the breakfast table littered with cereal spills, tear through the kitchen but avoid literally burning tyre rubber on the blazing hot cooker, turbo boost around the pool table (while avoiding the treacherous pockets), or hit the gas as you drive around the rim of the bath, carefully negotiating the ferocious waters pouring over the edge of the bath (because someone left the tap running). [Codemasters]",61,0.0
15048,NCAA GameBreaker 2004, PlayStation 2,"August 27, 2003","For the first time ever, NCAA GameBreaker 2004 will allow gamers to take their skills online and compete against other college football fans anytime, anywhere. NCAA GameBreaker 2004 further illustrates the realism of college football this year by using the new Practice Mode that gives players the option to sharpen their skills before playing an exhibition or entering season mode. Bringing back the true-to-life college football experience that gamers crave, legendary announcers Keith Jackson and Tim Brandt return to the microphone. With more than 50 new animated mascots, cheerleaders, and sideline personnel, gamers everywhere will feel the spirit and emotion of college football. [SCEA]",61,0.0
15054,ESPN International Track & Field, Dreamcast,"September 26, 2000","Go for the Gold! *Detailed ESPN Integration *Authentic ESPN Graphic overlays *Eye-popping statistical drop-ins *Broadcast quality replays *Over 750 authentic motion-captured animations featuring ""The World's Fastest Man,"" Maurice Greene, 3 time Olympian Ato Boldon, and more. *12 international track & field events from the 100m dash to the Hammer Throw. *Compete with athletes from over 10 different countries around the world with up to 4 player capability",61,0.0
15060,Dual Blades, Game Boy Advance,"October 7, 2002",Dual Blades is better for those seeking vicarious thrills or a game that friends can play without hours of basic instruction.,61,0.0
15063,Over the Hedge, Xbox,"May 9, 2006","When a housing development intrudes on their woodland habitat and an opossum is kidnapped by an evil exterminator, three wise-cracking rodents and one very neurotic reptile invade the 'burbs in a quest to rescue their friend. Battle the exterminator and his army of mind-controlled mammals, and save the forest (and your own hide) from the world's peskiest critter-man.",61,0.0
15065,Sheltered, Switch,"December 18, 2018","Sheltered is a deep, emotional survival & post-apocalyptic disaster management game. On Nintendo Switch™, Sheltered includes the base game plus the Surrounded and Stasis additional content. After a global apocalypse, you take on the role of protecting four family members living in a deserted underground shelter. Their well-being and survival are your responsibility. One bad decision and a loved one is gone, forever. Combat claustrophobia, radiation and mental exhaustion as you try to turn the cold and cramped Shelter into a home. And as they cling desperately to life, you must defend your shelter from attack and send family members out into the dangerous, desolate wasteland to scavenge for vital supplies. You’ll come across abandoned towns, roaming factions and feral beasts as you fight for survival. How you handle the many moral choices could be the difference between the family living or dying. With all hope lost, how will you survive in this bleak new world?",61,0.0
15066,Deadbeat Heroes, Xbox One,"October 10, 2017","London's Super Heroes have been vanquished. Only the Deadbeat Heroes can put an end to dastardly evil-doers and their rotten plans! Deadbeat Heroes is a movement based 3D brawler where you (and a friend) dodge bullets, steal super powers and crack wise. You play as the new wave of 'Deadbeat Heroes'. Not born with their own powers, they are armed with a prototype super gauntlet - which has the ability to 'borrow' the powers of others. You will (both) vie to win the hearts of the public with your amazing daring do, while not getting shot, sliced, lasered, exploded, vaporized, eaten... Do you have what it takes to save London's streets?",61,0.0
15084,Nexagon: Deathmatch, PC,"July 23, 2003","Since the late 25th century, Earth's population has skyrocketed, and the face of our blue planet has been transformed into a complex grid of concrete, polymers and steel. Oxygen trickles into the atmosphere by virtue of precious biospheres that dot the skies in a suspended fragile mesh several miles above the surface. Humans toil and commute along side the masses of alien races that have since inhabited Earth's centres. Together they have concocted the most voluble and copious of environments known to mankind since the Garden of Eden. At the turn of the fourth millennium, pessimistic speculation led philosophers to believe that Earth was bound for troubled times and that great suffering would engulf the helpless inhabitants. As usual, they were wrong. In fact, in the years following the brutish skirmishes near the Orion Nebula, a strong feeling of general well being seemed to permeate even into the darkest corners of parliament, where a wild and daring decision concerning the treatment of prisoners was made; a chance for freedom that would supply the Galaxy with an extraordinary new form of entertainment ... THE PIT. [Strategy First]",61,0.0
15110,Stacked with Daniel Negreanu, Xbox,"May 30, 2006","Stacked with Daniel Negreanu is a 3D poker simulation that provides both instruction and challenging AI competition. With video and in-game instructional features, the game helps you hone your No-Limit Hold 'Em skills. Computer opponents are equipped with a dynamic AI that allows them to take on specific personalities and adjust their play during the game. In Career mode, you can create your own character and take him or her up the ranks, eventually playing in larger tournaments and earning the respect of poker pros. The game also supports online play for small or large tournaments against other players.",61,0.0
15113,Deiland: Pocket Planet Edition, Switch,"April 15, 2021","Deiland: Pocket Planet Edition is a farming adventure where you will have to take care of your tiny planet. Farm, craft, fight and explore the universe of Deiland. Deiland: Pocket Planet Edition is a relaxing farming adventure where you will have to take care of your tiny planet. Farm, craft and fight monsters to make your home a special place and help others with their quest. Discover the story of Arco in this single-player experience, a tale about growing up, helping others and revealing the secrets that lie on the heart of your planet. We’ve crafted a relaxing game, with a strong narrative and a cast of diverse characters for you to meet. - Customize your planet with trees, plants, crops, flowers or structures, and take care of your farm animals. - Discover how the whole planet changes through Spring, Summer, Autumn and Winter. Each crop will only be available in the right seasons. - Over 12 characters to meet and befriend. - Day and night cycle that have an effect on the world with natural elements like meteor showers, storms, shooting stars, aurora borealis or hurricane winds. - More than 100 quests to uncover the secrets that the heart of your planet holds. - Play and relax. Smooth and cute graphics as well as relaxing soundtrack to ease up the bustling everyday routine.",61,0.0
15119,Ninja Shodown, Switch,"October 5, 2017","Retrieve the Jade Katana at all costs. It's every ninja for themselves in the ultimate battle for the Jade Katana! Fight alone, team up or take on friends in brutal arena-based combat where the mighty prevail and the weak pay the ultimate price: death and dishonour. The year is 199X and the world teeters on the brink of total destruction. The mystical Jade Katana, stolen! Its power, so lethal! In the wrong hands, humanity will fall! And so the Viper Clan, sworn guardians of the Jade Katana, prepare to embark on their most perilous mission yet: retrieve the sword at all costs! Use katanas, shurikens, bombs, machine guns, shotguns, bazookas and more as you battle your way through a variety of locations to become the ultimate ninja and fulfill the ancient vow of the Viper Clan. [Nintendo]",61,0.0
15125,Football Genius - The Ultimate Quiz, Xbox 360,"September 30, 2009","[Xbox Live Arcade] Are you a Football Genius? Test your football knowledge in Football Genius - The Ultimate Quiz! The game features six questions packs covering International, English, French, German, Italian, and Spanish football with over 3500 questions about your favorite teams, players, and tournaments! [RTL]",61,0.0
15126,The Spiderwick Chronicles, PC,"February 5, 2008","The Spiderwick Chronicles is a video game based on the theatrical release by Paramount Pictures and Nickelodeon Films. The game recreates the fantastical world of the Spiderwick film and best-selling book series. The Spiderwick Chronicles video game recreates the world of Jared, Simon and Mallory Grace, putting gamers in their shoes as they discover a hidden world of fantastical creatures - sprites, ogres, goblins, brownies and more. [Sierra Entertainment]",61,0.0
15142,Dance Dance Revolution: Disney Channel Edition, PlayStation 2,"January 8, 2008","The magical world of Disney hits the dancefloor with an entirely new DanceDanceRevolution game on the PS2. Leveraging some of the hottest and most popular shows and characters from the Disney Channel network, DanceDanceRevolution Disney Channel combines the mega-popular DDR dancing phenomenon with content that is cool and relevant with today’s youth. Featuring music and characters from some of Disney Channel’s biggest sensations such as High School Musical, Hannah Montana, The Suite Life of Zack and Cody, That’s So Raven, Cheetah Girls, Kim Possible & more. 40 songs including other popular hits. Multiple difficulty levels so everyone can get out there and dance. [Konami]",61,0.0
15157,Motor Trend presents Lotus Challenge, Xbox,"April 30, 2003","Climb in, buckle up and pop the clutch on one of 38 stylish cars, spanning Lotus' prestigious 54-year racing history. Put yourself to the test as you twist through mountain passes in the Alps, fly over the Rainbow Bridge in Tokyo or leap a strain in a Hollywood stunt.",61,0.0
15159,BCT Commander, PC,"February 23, 2002","Based on the battalion/brigade level tactical simulator, JANUS, and designed for and used by the army to train its senior commanders, this windows-based simulation retains all of the realism of its mainframe-based predecessor, while improving on the user interface by using windows-style point and click commands. [Shrapnel Games]",61,0.0
15163,Georifters, Switch,"September 18, 2020",Five different bubble worlds lived perfectly in isolation....but one day they were connected by an unexpected event. Now they must learn to overcome their differences to survive.,61,0.0
15169,Fast Striker, PlayStation 4,"October 16, 2018","FAST STRIKER is a 2D arcade shooting game with emphasis on scoring. You can choose between 3 game modes with different scoring systems. This game features six stages of excellent 2D arcade game play with over 40 unique enemy types, super smooth 3D scrolling backgrounds, huge CGI bosses.",61,0.0
15190,Elite Forces: Unit 77, DS,"April 28, 2009","This game of strategic action developed by Abylight is taking us to control Unit 77, ?a command of elite that must face its most important mission. The mysterious disappearance of some celebrities and politicians around the world is only the tip of an iceberg of a terrible terrorist threat. Only Unit 77 seems to be capable to stop the conspiracy. Now, the destiny of millions of people is relies on them. [Gammick Entertainment]",61,0.0
15202,Dogs of War: Battle On Primus IV, PC,"July 30, 2000","The first fully 3-D tactical action/strategy game to effortlessly mix line-of-sight arcade urgency with the command interface required to lead a massed force to victory, delivering highly challenging and addictive gameplay across a breathtaking, dynamic battlefield. [TalonSoft]",61,0.0
15208,Override 2: Super Mech League, PC,"December 22, 2020","Override is a 3D fighting game with local and online multiplayer modes that is perfect for competitive players, mech fans, or casual brawlers. This newest entry to the series features a fully online Career Mode, improved combat systems, and tons of multiplayer modes.",61,0.0
15213,Ashwalkers: A Survival Journey, PC,"April 15, 2021","From the co-founder of Dontnod (Life is Strange) Hervé Bonin's new studio Nameless XIII. Face the dark corners of your humanity and find out what lurks in the shadows. Set 200 years after the first geological disasters the earth is a post-apocalyptic wasteland. Survive the weather, the ash storm, the grey blizzard and the acid rain. A survival journey through a harsh world without rules or judgement. Only your choices matters in the face of moral dilemmas. Manage your party, food & equipment in this non-linear narrative survival sim with 34 possible endings.",61,0.0
15227,Future Tactics: The Uprising, Xbox,"May 10, 2004","Welcome to the future--a place where creatures have forced humans to live in squalor, battling their overlords and waxing nostalgic for better days. Now, a young boy named Low, his sister, and a collection of fighters find themselves as mankind's only hope for blasting the creatures back to where they came from. You must guide this ragtag team of survivors through 19 levels of tactical combat while upgrading them with powerful weapons. In Battle mode, you can take on a friend in tactical warfare--complete with customizable handicaps, power-ups, and victory conditions.",61,0.0
15231,Siegecraft Commander, Xbox One,"January 17, 2017","Siegecraft Commander is the latest installment in the popular Siegecraft franchise. With a combination of twitch mechanics and positional tactics, the objective is to build a fortress in a branching structure with specialised towers connected with lofty indestructible walls. Almost everything is performed by adjusting the angle and trajectory of projectiles. Fans of cult classic Moonbase Commander will appreciate the fresh look and overall improvements.",61,0.0
15242,Sega Casino, DS,"October 10, 2005","SEGA Casino deals out plenty of gambling action for gamers on-the-go with a casino experience that features five games, and six unlockable games. Players can place their bets on SEGA Casino's Roulette, Craps, Baccarat, and other unlockable games, including Chuck-a-Luck, Keno, and three Video Poker variants (Jacks or Better, Double Bonus, and Deuces Wild). They can improve their skills by taking on AI opponents solo, or they can play wirelessly with up to four friends by using a single cartridge and downloading SEGA Casino temporarily onto other players' DS units. Card game fans will be able to challenge friends in heated rounds of Black Jack, Texas Hold 'em, and the unlockable 7 Card Poker. Adding variety, players can double-down on SEGA Casino's three gameplay styles: Free Mode, in which players can unlock games; Wireless Mode, which allows players to compete against four other friends in multiplayer card action via the Nintendo DS wireless connection; and Casino Mode, in which players attempt to turn $1,000 into millions by winning tournaments. Card sharks and big-spenders can even unlock higher-limit Casino Rooms. [Sega]",61,0.0
15244,Honeycomb Beat, DS,"April 2, 2007","Honeycomb Beat puts your brain power to the test with a cool fusion of music and addictive puzzle action. Solve puzzles by clicking on honeycomb tiles to match their color to the playfield. Sounds easy? Multiple puzzles increase the challenge and fun for even the smartest of players. Easy to pick up and play with 200+ different puzzles to solve. Arcade-style Infinite mode - stop the honeycomb tiles from advancing to the top as you clear them away. Built-in Tutorial helps you learn basic rules and better techniques. Unlock new music, backgrounds and visualization themes as you advance. Rise through the ranks of ""Brain Evolution"" as you play better. [Konami]",61,0.0
15254,Silent Scope 3, PlayStation 2,"October 15, 2002","As the world's best sniper, prevent a terrorist organization from using cloning technology for global domination. Featuring expansive levels and diabolical bosses, it's time to silence the enemy threat. Silent Scope 3 delivers twice the gameplay by including the hit arcade game, Silent Scope EX! [Konami]",61,0.0
15263,Air Conflicts: Secret Wars, Xbox 360,"September 28, 2011","In Air Conflicts: Secret Wars players can relive the most famous battles of the First and Second World War right up close. The game provides plenty of variety, as players can fly 16 meticulously detailed and accurate aircraft in nearly 50 exciting missions in the seven campaigns. The mission tasks are diverse and range from air space clearance operations to the bombardment of targets on the ground, attacks on enemy convoys and reconnaissance, escort and patrol flights. After each successful mission players can upgrade their skills to enable them to control their aircraft more expertly, make their aircraft more robust and select better co-pilots. There are two control modes for the combat aircraft: the controls are simplified in arcade mode and simulation mode offers a realistic control system that is true to the original. Besides the solo campaigns, Air Conflicts: Secret Wars can also offer several multiplayer modes for up to eight players that can be played on a local network and over the Internet.",61,0.0
15264,PictoImage, DS,"September 2, 2008","Whether you draw stick figures or virtual masterpieces, jump into 8-player battles where the first team to guess the image being drawn wins. Pick from a huge word list, even add in some of your own words, and show off your favorite drawings in the gallery. Battle it Out in a Match of Wits: Fun multiplayer modes pit you against your friends in an intense battle. Eight different modes ensure the party never stops. Challenge Your Friends with the Ad Hoc Download Feature: Party it up with PictoImage – you only need one copy of the game for eight friends to join in the fun. Enhance Your Skills with Practice Mode: Featuring tips and tricks to help improve your game. Over ninety different practice examples to choose from guarantees you'll be the quickest on the draw. Show Off Your Masterpieces with the Picture Gallery: Become a regular Picasso using the gallery feature. Save your drawings to show off to your friends. It’s like having a digital sketch book in your pocket. [Sega]",61,0.0
